model,test,n_scored,n_total,q_sem,q_strict,ci_lo,ci_hi,coverage,median_wall_s
qwen3:8b,HOME-01,12,24,1.0000,1.0000,1.0000,1.0000,0.500,1.00
gemma3:12b,HOME-01,12,24,0.9861,0.0000,0.9722,1.0000,0.500,7.50
qwen3:14b,HOME-01,12,24,0.9722,0.9722,0.9306,1.0000,0.500,7.19
qwen3.5:4b,HOME-01,24,24,0.9444,0.9444,0.9097,0.9722,1.000,0.74
mistral-nemo:12b,HOME-01,12,24,0.9236,0.9236,0.8542,0.9792,0.500,2.99
llama3.1:8b,HOME-01,24,24,0.8854,0.8854,0.8507,0.9201,1.000,0.82
aya-expanse:8b,HOME-01,24,24,0.8576,0.8576,0.8160,0.8958,1.000,1.30
qwen3:1.7b,HOME-01,24,24,0.8507,0.8507,0.8090,0.8924,1.000,0.33
lfm2.5:8b,HOME-01,24,24,0.8333,0.8333,0.7396,0.9097,1.000,3.16
deepseek-r1:8b,HOME-01,12,24,0.8056,0.6389,0.5694,0.9861,0.500,24.16
phi4-mini:latest,HOME-01,24,24,0.7951,0.0000,0.7361,0.8507,1.000,0.58
command-r7b:7b,HOME-01,12,24,0.7778,0.6389,0.7083,0.8472,0.500,1.30
bge-m3:latest,HOME-01,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
functiongemma:270m,HOME-01,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
glm-ocr:latest,HOME-01,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
granite-code:8b-instruct,HOME-01,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
granite3.2-vision:2b,HOME-01,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
llama-guard3:8b,HOME-01,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
nomic-embed-text:latest,HOME-01,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
nuextract:3.8b,HOME-01,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
qwen2.5-coder:7b,HOME-01,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
qwen2.5vl:7b,HOME-01,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
reader-lm:1.5b,HOME-01,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
sqlcoder:7b,HOME-01,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
bge-m3:latest,HOME-02,40,40,0.9234,0.9234,0.8879,0.9566,1.000,0.00
aya-expanse:8b,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
command-r7b:7b,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
deepseek-r1:8b,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
functiongemma:270m,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
gemma3:12b,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
glm-ocr:latest,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
granite-code:8b-instruct,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
granite3.2-vision:2b,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
lfm2.5:8b,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
llama-guard3:8b,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
llama3.1:8b,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
mistral-nemo:12b,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
nomic-embed-text:latest,HOME-02,0,40,0.0000,0.0000,0.0000,0.0000,0.000,
nuextract:3.8b,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
phi4-mini:latest,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
qwen2.5-coder:7b,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
qwen2.5vl:7b,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
qwen3.5:4b,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
qwen3:1.7b,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
qwen3:14b,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
qwen3:8b,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
reader-lm:1.5b,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
sqlcoder:7b,HOME-02,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
deepseek-r1:8b,HOME-03,10,16,1.0000,0.3000,1.0000,1.0000,0.625,8.64
gemma3:12b,HOME-03,10,16,1.0000,0.0000,1.0000,1.0000,0.625,7.78
lfm2.5:8b,HOME-03,16,16,0.9375,0.9375,0.8125,1.0000,1.000,1.95
llama3.1:8b,HOME-03,16,16,0.9375,0.9375,0.8125,1.0000,1.000,1.39
mistral-nemo:12b,HOME-03,10,16,0.9000,0.9000,0.7000,1.0000,0.625,3.90
qwen3:8b,HOME-03,10,16,0.9000,0.9000,0.7000,1.0000,0.625,1.48
aya-expanse:8b,HOME-03,10,16,0.8000,0.1000,0.6000,1.0000,0.625,1.81
qwen3:14b,HOME-03,10,16,0.8000,0.8000,0.5000,1.0000,0.625,7.50
qwen3.5:4b,HOME-03,16,16,0.7500,0.7500,0.5000,0.9375,1.000,1.14
qwen3:1.7b,HOME-03,16,16,0.6875,0.6875,0.4375,0.8750,1.000,0.48
phi4-mini:latest,HOME-03,16,16,0.5625,0.5625,0.3125,0.8125,1.000,0.79
command-r7b:7b,HOME-03,16,16,0.0000,0.0000,0.0000,0.0000,1.000,2.39
bge-m3:latest,HOME-03,0,1,0.0000,0.0000,0.0000,0.0000,0.000,
